State,District,Crop,Season,Area-2024-25,Production-2024-25,Yield-2024-25
Punjab,Kapurthala,Cereals,Rabi,1.07,5.49,5111
Punjab,Kapurthala,Cereals,Total,2.25,11.12,4940
Punjab,Kapurthala,Moong,Summer,0,0,1270
Punjab,Kapurthala,Moong,Total,0,0,1270
Punjab,Kapurthala,Total Pulses,Total,0,0,1270
Punjab,Kapurthala,Total Food Grains,Kharif,1.18,5.63,4784
Punjab,Kapurthala,Total Food Grains,Rabi,1.07,5.49,5111
Punjab,Kapurthala,Total Food Grains,Summer,0,0,1270
Punjab,Kapurthala,Total Food Grains,Total,2.25,11.13,4937
Punjab,Ludhiana,Rice,Kharif,2.58,12.42,4812
Punjab,Ludhiana,Rice,Total,2.58,12.42,4812
Punjab,Ludhiana,Wheat,Rabi,2.4,12.33,5132
Punjab,Ludhiana,Wheat,Total,2.4,12.33,5132
Punjab,Ludhiana,Maize,Kharif,0.01,0.02,3660
Punjab,Ludhiana,Maize,Total,0.01,0.02,3660
Punjab,Ludhiana,Barley,Rabi,0.01,0.04,3577
Punjab,Ludhiana,Barley,Total,0.01,0.04,3577
Punjab,Ludhiana,Nutri/Coarse Cereals,Kharif,0.01,0.02,3660
Punjab,Ludhiana,Nutri/Coarse Cereals,Rabi,0.01,0.04,3577
Punjab,Ludhiana,Nutri/Coarse Cereals,Total,0.02,0.05,3605
Punjab,Ludhiana,Cereals,Kharif,2.59,12.44,4809
Punjab,Ludhiana,Cereals,Rabi,2.41,12.36,5125
Punjab,Ludhiana,Cereals,Total,5,24.8,4962
Punjab,Ludhiana,Tur,Kharif,0,0,1064
Punjab,Ludhiana,Tur,Total,0,0,1064
Punjab,Ludhiana,Moong,Kharif,0,0,1005
Punjab,Ludhiana,Moong,Summer,0.05,0.05,1020
Punjab,Ludhiana,Moong,Total,0.05,0.05,1019
Punjab,Ludhiana,Other Pulses,Rabi,0,0,1420
Punjab,Ludhiana,Other Pulses,Total,0,0,1420
Punjab,Ludhiana,Total Pulses,Total,0.05,0.05,1030
Punjab,Ludhiana,Total Food Grains,Kharif,2.59,12.44,4803
Punjab,Ludhiana,Total Food Grains,Rabi,2.41,12.36,5124
Punjab,Ludhiana,Total Food Grains,Summer,0.05,0.05,1020
Punjab,Ludhiana,Total Food Grains,Total,5.05,24.85,4922
Punjab,Malerkotla,Rice,Kharif,0.53,2.83,5328
Punjab,Malerkotla,Rice,Total,0.53,2.83,5328
Punjab,Malerkotla,Wheat,Rabi,0.52,2.84,5439
Punjab,Malerkotla,Wheat,Total,0.52,2.84,5439
Punjab,Malerkotla,Maize,Kharif,0,0.01,4234
Punjab,Malerkotla,Maize,Total,0,0.01,4234
Punjab,Malerkotla,Barley,Rabi,0,0.02,4245
Punjab,Malerkotla,Barley,Total,0,0.02,4245
Punjab,Malerkotla,Nutri/Coarse Cereals,Kharif,0,0.01,4234
Punjab,Malerkotla,Nutri/Coarse Cereals,Rabi,0,0.02,4245
Punjab,Malerkotla,Nutri/Coarse Cereals,Total,0.01,0.03,4242
Punjab,Malerkotla,Cereals,Kharif,0.53,2.84,5324
Punjab,Malerkotla,Cereals,Rabi,0.53,2.86,5430
Punjab,Malerkotla,Cereals,Total,1.06,5.7,5377
Punjab,Malerkotla,Tur,Kharif,0,0,1170
Punjab,Malerkotla,Tur,Total,0,0,1170
Punjab,Malerkotla,Moong,Kharif,0,0,873
Punjab,Malerkotla,Moong,Summer,0,0,1250
Punjab,Malerkotla,Moong,Total,0,0,1118
Punjab,Malerkotla,Total Pulses,Total,0,0,1146
Punjab,Malerkotla,Total Food Grains,Kharif,0.54,2.84,5314
